zipcode,commute_grade,cost_of_living_grade,diversity_grade,good_for_families_grade,health_fitness_grade,housing_grade,jobs_grade,nightlife_grade,outdoor_activities_grade,public_schools_grade,weather_grade,commute_score,cost_of_living_score,diversity_score,good_for_families_score,health_fitness_score,housing_score,jobs_score,nightlife_score,outdoor_activities_score,public_schools_score,weather_score
98045,A-,C,B-,A-,A,C+,B+,B+,A,B+,C-,3.7,2.0,2.7,3.7,4.0,2.3,3.3,3.3,4.0,3.3,1.7
98102,A,C-,A-,A-,A+,C+,B+,A+,A,A,B,4.0,1.7,3.7,3.7,4.3,2.3,3.3,4.3,4.0,4.0,3.0
98077,A-,C-,B-,A,A,B-,B+,C-,A,A,B-,3.7,1.7,2.7,4.0,4.0,2.7,3.3,1.7,4.0,4.0,2.7
98108,A,C,A+,B+,A-,C-,C,A-,A,A-,B,4.0,2.0,4.3,3.3,3.7,1.7,2.0,3.7,4.0,3.7,3.0
98168,A-,C,A+,B,A,C-,C+,A-,A+,C+,B,3.7,2.0,4.3,3.0,4.0,1.7,2.3,3.7,4.3,2.3,3.0
98177,A-,C-,B+,A,A+,C+,B+,A-,A,A,B,3.7,1.7,3.3,4.0,4.3,2.3,3.3,3.7,4.0,4.0,3.0
98065,A-,C,B-,A,A,B,A-,A-,B,A-,C-,3.7,2.0,2.7,4.0,4.0,3.0,3.7,3.7,3.0,3.7,1.7
98029,A-,C-,A,A+,A,B,B+,A-,A,A+,C+,3.7,1.7,4.0,4.3,4.0,3.0,3.3,3.7,4.0,4.3,2.3
98006,A-,C-,A,A+,A+,B-,B,A-,A+,A+,B,3.7,1.7,4.0,4.3,4.3,2.7,3.0,3.7,4.3,4.3,3.0
98109,A,C-,B+,A,A+,B-,B+,A+,A,A,B,4.0,1.7,3.3,4.0,4.3,2.7,3.3,4.3,4.0,4.0,3.0
98022,A-,C,B+,B-,A,C-,B-,A-,A,B-,C,3.7,2.0,3.3,2.7,4.0,1.7,2.7,3.7,4.0,2.7,2.0
98033,A,C-,B+,A+,A+,C+,B+,A,A,A+,B,4.0,1.7,3.3,4.3,4.3,2.3,3.3,4.0,4.0,4.3,3.0
98155,A,C,A-,A,A+,B-,B,A,A,A,B,4.0,2.0,3.7,4.0,4.3,2.7,3.0,4.0,4.0,4.0,3.0
98024,A,C,B-,A-,A-,C+,B,A-,A-,A-,C-,4.0,2.0,2.7,3.7,3.7,2.3,3.0,3.7,3.7,3.7,1.7
98011,A-,C-,A-,A,A+,B-,B,A-,A+,A+,B,3.7,1.7,3.7,4.0,4.3,2.7,3.0,3.7,4.3,4.3,3.0
98031,A-,C+,A+,B+,A,C+,B-,A,A,B+,B,3.7,2.3,4.3,3.3,4.0,2.3,2.7,4.0,4.0,3.3,3.0
98106,A,C,A-,B+,A,C,C,A,A,A-,B,4.0,2.0,3.7,3.3,4.0,2.0,2.0,4.0,4.0,3.7,3.0
98072,A-,C,B,A,A+,B-,B+,A-,A,A+,B,3.7,2.0,3.0,4.0,4.3,2.7,3.3,3.7,4.0,4.3,3.0
98188,A,C,A+,B-,A+,D+,C,B+,A,C+,B,4.0,2.0,4.3,2.7,4.3,1.3,2.0,3.3,4.0,2.3,3.0
98014,A-,C,B,B+,A-,C,B+,B-,A,B+,C,3.7,2.0,3.0,3.3,3.7,2.0,3.3,2.7,4.0,3.3,2.0
98055,B,C,A-,B,A,C,B-,B+,A,B-,B,3.0,2.0,3.7,3.0,4.0,2.0,2.7,3.3,4.0,2.7,3.0
98039,B,C-,B,A+,B+,C+,A-,C+,A,A+,B,3.0,1.7,3.0,4.3,3.3,2.3,3.7,2.3,4.0,4.3,3.0
